geography_level,msa,msa_code,msa_mapping_method,msa_mapping_status,docs/zip_to_msa.doc,source_economic_file,source_geoid_file,year,month,day_endofweek,cityid,merchants_all,revenue_all,week_end_sunday,week_start_monday,countyfips,countyfips_str,cityname,stateabbrev,statename,statefips,lat,lon,city_pop2019,statefips_str,countyname,cz,czname,county_pop2019,has_game,game_count,completed_game_count,playoff_game_count,neutral_site_game_count,attendance_sum,mlb_game_count,nba_game_count,nfl_game_count,nhl_game_count,joined_game_ids,join_key_cityid,join_key_week_start_monday,join_level,join_warning,event_msa,event_msa_code,event_msa_block_id,event_msa_block_compact_id,event_msa_region,event_msa_pop_size_bin,event_msa_urban_rural,event_msa_recommended_for_matching,block_join_warning
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,11,0.0184,-0.0145,2020-01-12,2020-01-06,,,San Antonio,TX,Texas,48,29.42,-98.49,2003554,48,,,,,1,1,1,0,0,18354.0,0,1,0,0,NBA:401161188,11,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"San Antonio-New Braunfels, TX",41700,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,12,0.0106,-0.0397,2020-01-12,2020-01-06,,,San Jose,CA,California,6,37.34,-121.89,1927852,06,,,,,1,2,2,0,0,0.0,0,0,0,2,NHL:2019020688|NHL:2019020702,12,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"San Jose-Sunnyvale-Santa Clara, CA",41940,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,13,0.0109,0.0124,2020-01-12,2020-01-06,,,Detroit,MI,Michigan,26,42.33,-83.05,1749343,26,,,,,1,5,5,0,0,29396.0,0,2,0,3,NHL:2019020669|NBA:401161205|NHL:2019020689|NBA:401161221|NHL:2019020705,13,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Detroit-Warren-Dearborn, MI",19820,midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,midwest,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,14,0.0169,0.0182,2020-01-12,2020-01-06,,,Philadelphia,PA,Pennsylvania,42,39.95,-75.17,1584064,42,,,,,1,4,4,0,0,41383.0,0,2,0,2,NBA:401161183|NHL:2019020676|NBA:401161206|NHL:2019020695,14,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,15,0.000208,0.000656,2020-01-12,2020-01-06,,,Columbus,OH,Ohio,39,39.96,-83.0,1316756,39,,,,,0,0,0,0,0,0.0,0,0,0,0,,15,2020-01-06,city_week,no_matching_city_week_game,"Columbus, OH",18140,midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,midwest,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,16,0.0145,-0.0492,2020-01-12,2020-01-06,,,Austin,TX,Texas,48,30.27,-97.74,1273954,48,,,,,0,0,0,0,0,0.0,0,0,0,0,,16,2020-01-06,city_week,no_matching_city_week_game,"Austin-Round Rock-San Marcos, TX",12420,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,17,0.0118,0.0232,2020-01-12,2020-01-06,,,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356,37,,,,,1,2,2,0,0,26974.0,0,2,0,0,NBA:401161181|NBA:401161197,17,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Charlotte-Concord-Gastonia, NC-SC",16740,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,18,0.00317,-0.000153,2020-01-12,2020-01-06,,,Indianapolis,IN,Indiana,18,39.77,-86.16,964582,18,,,,,1,1,1,0,0,17040.0,0,1,0,0,NBA:401161198,18,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Indianapolis-Carmel-Greenwood, IN",26900,midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,midwest,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,19,0.0218,-0.0273,2020-01-12,2020-01-06,,,Jacksonville,FL,Florida,12,30.33,-81.66,957755,12,,,,,0,0,0,0,0,0.0,0,0,0,0,,19,2020-01-06,city_week,no_matching_city_week_game,"Jacksonville, FL",27260,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,20,0.0145,-0.00211,2020-01-12,2020-01-06,,,Memphis,TN,Tennessee,47,35.15,-90.05,937166,47,,,,,1,3,3,0,0,46973.0,0,3,0,0,NBA:401161193|NBA:401161213|NBA:401161230,20,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Memphis, TN-MS-AR",32820,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,21,0.00725,-0.0243,2020-01-12,2020-01-06,,,San Francisco,CA,California,6,37.77,-122.42,881549,06,,,,,1,2,2,1,0,18064.0,0,1,1,0,NBA:401161204|NFL:2019_19_MIN_SF,21,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"San Francisco-Oakland-Fremont, CA",41860,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,22,0.00146,-0.00901,2020-01-12,2020-01-06,,,El Paso,TX,Texas,48,31.78,-106.44,839238,48,,,,,0,0,0,0,0,0.0,0,0,0,0,,22,2020-01-06,city_week,no_matching_city_week_game,,,,,,,,,missing_city_msa_block_profile
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,23,0.0188,0.0735,2020-01-12,2020-01-06,,,Baltimore,MD,Maryland,24,39.29,-76.61,593490,24,,,,,1,1,1,1,0,0.0,0,0,1,0,NFL:2019_19_TEN_BAL,23,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Baltimore-Columbia-Towson, MD",12580,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,24,0.0193,0.00157,2020-01-12,2020-01-06,,,Portland,OR,Oregon,41,45.52,-122.68,812855,41,,,,,1,1,1,0,0,19843.0,0,1,0,0,NBA:401161225,24,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Portland-Vancouver-Hillsboro, OR-WA",38900,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,25,0.0309,0.0368,2020-01-12,2020-01-06,,,Boston,MA,Massachusetts,25,42.36,-71.06,803907,25,,,,,1,3,3,0,0,38312.0,0,2,0,1,NBA:401161196|NHL:2019020678|NBA:401161220,25,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Boston-Cambridge-Newton, MA-NH",14460,northeast|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,northeast,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,26,0.0167,-0.00811,2020-01-12,2020-01-06,,,Oklahoma City,OK,Oklahoma,40,35.47,-97.52,797434,40,,,,,1,2,2,0,0,36406.0,0,2,0,0,NBA:401161208|NBA:401161222,26,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Oklahoma City, OK",36420,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,27,0.0214,-0.0336,2020-01-12,2020-01-06,,,Louisville,KY,Kentucky,21,38.25,-85.76,766757,21,,,,,0,0,0,0,0,0.0,0,0,0,0,,27,2020-01-06,city_week,no_matching_city_week_game,,,,,,,,,missing_city_msa_block_profile
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,28,-0.0111,-0.0407,2020-01-12,2020-01-06,,,Denver,CO,Colorado,8,39.74,-104.99,727211,08,,,,,1,1,1,0,0,19533.0,0,1,0,0,NBA:401161224,28,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Denver-Aurora-Centennial, CO",19740,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,29,-0.00952,0.0409,2020-01-12,2020-01-06,,,Washington,DC,District of Columbia,11,38.91,-77.04,705749,11,,,,,1,5,5,0,0,50276.0,0,3,0,2,NBA:401161184|NHL:2019020667|NBA:401161209|NBA:401161227|NHL:2019020696,29,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,30,0.0178,0.0233,2020-01-12,2020-01-06,,,Nashville,TN,Tennessee,47,36.16,-86.78,694144,47,,,,,1,1,1,0,0,0.0,0,0,0,1,NHL:2019020671,30,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,31,-0.00239,-0.0902,2020-01-12,2020-01-06,,,Milwaukee,WI,Wisconsin,55,43.04,-87.91,945726,55,,,,,0,0,0,0,0,0.0,0,0,0,0,,31,2020-01-06,city_week,no_matching_city_week_game,"Milwaukee-Waukesha, WI",33340,midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,midwest,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,32,0.00816,0.0217,2020-01-12,2020-01-06,,,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121,35,,,,,0,0,0,0,0,0.0,0,0,0,0,,32,2020-01-06,city_week,no_matching_city_week_game,,,,,,,,,missing_city_msa_block_profile
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,33,0.00791,-0.0359,2020-01-12,2020-01-06,,,Tucson,AZ,Arizona,4,32.22,-110.93,1047279,04,,,,,0,0,0,0,0,0.0,0,0,0,0,,33,2020-01-06,city_week,no_matching_city_week_game,,,,,,,,,missing_city_msa_block_profile
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,34,0.02,-0.0249,2020-01-12,2020-01-06,,,Fresno,CA,California,6,36.75,-119.77,999101,06,,,,,0,0,0,0,0,0.0,0,0,0,0,,34,2020-01-06,city_week,no_matching_city_week_game,,,,,,,,,missing_city_msa_block_profile
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,35,0.000819,-0.0161,2020-01-12,2020-01-06,,,Sacramento,CA,California,6,38.58,-121.49,1552058,06,,,,,1,2,2,0,0,33402.0,0,2,0,0,NBA:401161189|NBA:401161217,35,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Sacramento-Roseville-Folsom, CA",40900,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,36,0.0348,-0.079,2020-01-12,2020-01-06,,,Atlanta,GA,Georgia,13,33.75,-84.39,1063937,13,,,,,1,2,2,0,0,31800.0,0,2,0,0,NBA:401161185|NBA:401161200,36,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Atlanta-Sandy Springs-Roswell, GA",12060,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,37,0.0235,0.0475,2020-01-12,2020-01-06,,,Kansas City,MO,Missouri,29,39.1,-94.58,703011,29,,,,,1,1,1,1,0,0.0,0,0,1,0,NFL:2019_19_HOU_KC,37,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Kansas City, MO-KS",28140,midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,midwest,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,38,0.0183,-0.0607,2020-01-12,2020-01-06,,,Miami,FL,Florida,12,25.76,-80.19,2716940,12,,,,,1,2,2,0,0,0.0,0,0,0,2,NHL:2019020664|NHL:2019020681,38,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,39,0.0143,-0.0024,2020-01-12,2020-01-06,,,Raleigh,NC,North Carolina,37,35.78,-78.64,1111761,37,,,,,1,3,3,0,0,0.0,0,0,0,3,NHL:2019020668|NHL:2019020690|NHL:2019020697,39,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Raleigh-Cary, NC",39580,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,40,0.00524,0.00897,2020-01-12,2020-01-06,,,Omaha,NE,Nebraska,31,41.25,-96.0,571327,31,,,,,0,0,0,0,0,0.0,0,0,0,0,,40,2020-01-06,city_week,no_matching_city_week_game,,,,,,,,,missing_city_msa_block_profile
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,41,-0.0125,-0.00361,2020-01-12,2020-01-06,,,Oakland,CA,California,6,37.8,-122.27,1671329,06,,,,,0,0,0,0,0,0.0,0,0,0,0,,41,2020-01-06,city_week,no_matching_city_week_game,"San Francisco-Oakland-Fremont, CA",41860,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,42,-0.00873,-0.0384,2020-01-12,2020-01-06,,,Minneapolis,MN,Minnesota,27,44.98,-93.27,1265843,27,,,,,1,3,3,0,0,13720.0,0,1,0,2,NHL:2019020656|NBA:401161207|NHL:2019020704,42,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,midwest,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,43,0.00423,-0.0401,2020-01-12,2020-01-06,,,Tampa,FL,Florida,12,27.95,-82.46,1471968,12,,,,,1,2,2,0,0,0.0,0,0,0,2,NHL:2019020663|NHL:2019020680,43,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Tampa-St. Petersburg-Clearwater, FL",45300,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
